--- Optimization Completed ---
Final Cost: 0.0785373787964323
Final Parameters: [4.26290326 0.11053458 0.81856754 4.62285113 1.65754124 1.07928091
 5.76114017 3.99150406 6.22186   ]

Best parameters (callback): [4.26225984 0.11406705 0.81370595 4.63003382 1.64842973 1.08607405
 5.77085817 3.9963624  6.21937467]
Best cost (callback): 0.054237384045698556

0.107173 (Num:0.147560 / Denom:0.165273)
0.165006 (Num:0.166929 / Denom:0.199917)
0.138142 (Num:0.126314 / Denom:0.146560)
0.117562 (Num:0.147359 / Denom:0.166991)
0.198719 (Num:0.134753 / Denom:0.168172)
0.191228 (Num:0.144668 / Denom:0.178874)
0.108889 (Num:0.147781 / Denom:0.165839)
0.172462 (Num:0.182555 / Denom:0.220600)
0.165450 (Num:0.093381 / Denom:0.111894)
0.103303 (Num:0.148327 / Denom:0.165414)
0.221091 (Num:0.214580 / Denom:0.275488)
0.235274 (Num:0.075318 / Denom:0.098490)
0.106411 (Num:0.148435 / Denom:0.166110)
0.170132 (Num:0.154632 / Denom:0.186333)
0.205259 (Num:0.124625 / Denom:0.156813)
0.116673 (Num:0.147523 / Denom:0.167008)
0.146259 (Num:0.159234 / Denom:0.186513)
0.162568 (Num:0.141725 / Denom:0.169238)
0.108908 (Num:0.148107 / Denom:0.166209)
0.206823 (Num:0.151648 / Denom:0.191190)
0.198537 (Num:0.150053 / Denom:0.187223)
0.096834 (Num:0.148187 / Denom:0.164075)
0.198818 (Num:0.161000 / Denom:0.200954)
0.141741 (Num:0.132724 / Denom:0.154643)
0.107570 (Num:0.149471 / Denom:0.167488)
0.161330 (Num:0.162622 / Denom:0.193905)
0.158067 (Num:0.124279 / Denom:0.147611)
0.111904 (Num:0.145992 / Denom:0.164387)
0.204601 (Num:0.165456 / Denom:0.208017)
0.155704 (Num:0.122557 / Denom:0.145158)
0.102735 (Num:0.147462 / Denom:0.164346)
0.172446 (Num:0.123215 / Denom:0.148890)
0.164308 (Num:0.166441 / Denom:0.199166)
