Shots: 50000
a, c= SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x,shots,coefficient_set_2,gate_set_2,cost_history_SPSA),
        initial_point=x0,
        c=0.2,                 # Force start c = 0.2
        target_magnitude=0.35, # Force start step size ≈ 0.35
        stability_constant=0
    )
{   'fun': 0.06322566499892035,
    'jac': None,
    'nfev': 541,
    'nit': 180,
    'njev': None,
    'x': array([3.27687301, 5.51461997, 4.39133129, 3.08644882, 3.22021084,
       0.11813821, 1.79506773, 3.12461093, 2.27023903])}
Best x Found (Tracked by Callback): [3.27687301 5.51461997 4.39133129 3.08644882 3.22021084 0.11813821
 1.79506773 3.12461093 2.27023903]
Best Cost Found (Tracked by Callback): 0.022162480198974044

0.293760 (Num: 0.256824 / Denom: 0.363650)
0.259141 (Num: 0.205755 / Denom: 0.277725)
0.159471 (Num: 0.223854 / Denom: 0.266325)
0.251215 (Num: 0.345090 / Denom: 0.460866)
0.327668 (Num: 0.094563 / Denom: 0.140649)
0.212097 (Num: 0.280502 / Denom: 0.356010)
0.237665 (Num: 0.174604 / Denom: 0.229038)
0.188248 (Num: 0.262859 / Denom: 0.323817)
0.168369 (Num: 0.237210 / Denom: 0.285234)
0.213190 (Num: 0.325316 / Denom: 0.413462)
0.144605 (Num: 0.138614 / Denom: 0.162047)
0.165331 (Num: 0.196253 / Denom: 0.235127)
0.223453 (Num: 0.238495 / Denom: 0.307122)
0.234031 (Num: 0.150347 / Denom: 0.196283)
0.165824 (Num: 0.197975 / Denom: 0.237330)
0.236696 (Num: 0.257342 / Denom: 0.337142)
0.196840 (Num: 0.122638 / Denom: 0.152694)
0.139081 (Num: 0.183780 / Denom: 0.213470)
0.171800 (Num: 0.211956 / Denom: 0.255923)
0.172814 (Num: 0.158090 / Denom: 0.191118)
0.142331 (Num: 0.182201 / Denom: 0.212438)
0.258466 (Num: 0.292629 / Denom: 0.394626)
0.408079 (Num: 0.089109 / Denom: 0.150542)
0.181497 (Num: 0.237614 / Denom: 0.290303)
0.229983 (Num: 0.205723 / Denom: 0.267167)
0.183255 (Num: 0.150367 / Denom: 0.184106)
0.132424 (Num: 0.175011 / Denom: 0.201724)
0.497644 (Num: 0.074727 / Denom: 0.148754)
0.234143 (Num: 0.288986 / Denom: 0.377337)
0.161972 (Num: 0.232446 / Denom: 0.277372)
0.181975 (Num: 0.201080 / Denom: 0.245812)
0.205237 (Num: 0.137972 / Denom: 0.173601)
0.142958 (Num: 0.178468 / Denom: 0.208238)
0.167533 (Num: 0.182601 / Denom: 0.219350)
0.219463 (Num: 0.172640 / Denom: 0.221181)
0.157961 (Num: 0.176775 / Denom: 0.209937)
0.403079 (Num: 0.090338 / Denom: 0.151341)
0.262367 (Num: 0.278372 / Denom: 0.377385)
0.175072 (Num: 0.227569 / Denom: 0.275865)
0.175867 (Num: 0.157285 / Denom: 0.190850)
0.185774 (Num: 0.205540 / Denom: 0.252436)
0.137184 (Num: 0.178302 / Denom: 0.206651)
0.365497 (Num: 0.113176 / Denom: 0.178370)
0.283542 (Num: 0.258368 / Denom: 0.360618)
0.178091 (Num: 0.213815 / Denom: 0.260145)
0.445603 (Num: 0.081146 / Denom: 0.146368)
0.253541 (Num: 0.289637 / Denom: 0.388014)
0.173545 (Num: 0.231979 / Denom: 0.280691)
0.194466 (Num: 0.197291 / Denom: 0.244919)
0.336469 (Num: 0.144872 / Denom: 0.218334)
0.148723 (Num: 0.188221 / Denom: 0.221104)
0.192848 (Num: 0.267458 / Denom: 0.331360)
0.284287 (Num: 0.090336 / Denom: 0.126218)
0.153931 (Num: 0.222296 / Denom: 0.262739)
0.207978 (Num: 0.134097 / Denom: 0.169310)
0.235523 (Num: 0.214349 / Denom: 0.280386)
0.141088 (Num: 0.170926 / Denom: 0.199002)
0.369373 (Num: 0.108689 / Denom: 0.172350)
0.309273 (Num: 0.235999 / Denom: 0.341668)
0.165703 (Num: 0.191240 / Denom: 0.229223)
0.420803 (Num: 0.082436 / Denom: 0.142329)
0.271321 (Num: 0.270631 / Denom: 0.371399)
0.174693 (Num: 0.216902 / Denom: 0.262814)
0.165412 (Num: 0.157576 / Denom: 0.188807)
0.279493 (Num: 0.143678 / Denom: 0.199413)
0.124496 (Num: 0.170409 / Denom: 0.194642)
0.185206 (Num: 0.241929 / Denom: 0.296920)
0.348642 (Num: 0.087651 / Denom: 0.134567)
0.135094 (Num: 0.206948 / Denom: 0.239272)
0.210371 (Num: 0.233384 / Denom: 0.295562)
0.210337 (Num: 0.161775 / Denom: 0.204866)
0.152368 (Num: 0.202367 / Denom: 0.238744)
0.185369 (Num: 0.146084 / Denom: 0.179325)
0.210116 (Num: 0.260955 / Denom: 0.330371)
0.138135 (Num: 0.198182 / Denom: 0.229946)
0.181699 (Num: 0.166133 / Denom: 0.203022)
0.187123 (Num: 0.207299 / Denom: 0.255018)
0.148318 (Num: 0.198810 / Denom: 0.233433)
0.202485 (Num: 0.245126 / Denom: 0.307362)
0.223944 (Num: 0.125221 / Denom: 0.161356)
0.151441 (Num: 0.204749 / Denom: 0.241290)
0.214046 (Num: 0.268090 / Denom: 0.341102)
0.140700 (Num: 0.138352 / Denom: 0.161006)
0.149106 (Num: 0.178481 / Denom: 0.209757)
0.244227 (Num: 0.220180 / Denom: 0.291330)
0.228524 (Num: 0.139222 / Denom: 0.180462)
0.131247 (Num: 0.175793 / Denom: 0.202350)
